Sample_name,Locus,sample_id,Hash,nReads
88,LerayXT,CLAY_13-a,fbcd58f6fa0d074fcb9e83047c2e11ac00f4b4fa,14
88,LerayXT,CLAY_13-a,efaf392208a81dfce885efb0801abc6c3fb2b1f7,8
88,LerayXT,CLAY_13-a,1eae983cf522e5c57db90ac9b024e71139e5c8e6,4
88,LerayXT,CLAY_13-a,c6dd98037be6cb88ba09fdc828b841f27c590ecf,3
88,LerayXT,CLAY_13-a,10230df3b3a96352f3cbdfbc54581b41eeddf08d,2
89,LerayXT,CLAY_13-b,bcf014db0fa81110df38538d575fa91aeda4823d,23723
89,LerayXT,CLAY_13-b,6f09afda42df08e5dbcce46aaa716e3203c03cf9,7094
89,LerayXT,CLAY_13-b,b8901524ab5f9bcdfde41df2d68eff22fe3faf03,20308
89,LerayXT,CLAY_13-b,7c8cc6012464cd770e809d55131fd216ee328e75,623
89,LerayXT,CLAY_13-b,fefde31d083db7bb12e2472389e56f7e411fc709,1787
89,LerayXT,CLAY_13-b,af16bf2f97c583b1ded277f88daace8aa697e979,75
89,LerayXT,CLAY_13-b,c7feb050b7e9a3961ace4172b6deec7763f1029a,198
89,LerayXT,CLAY_13-b,cc66291fabb2eeb03160052caa4455ac202073e2,128
89,LerayXT,CLAY_13-b,1c8b16fb8ec494e8e799132635e1a77f390454ed,27
89,LerayXT,CLAY_13-b,a05c0878740d51d2f277ef13e03ab9e99e2e5d85,147
89,LerayXT,CLAY_13-b,51342afaf0e2588e3961f2e274b235422d32ae78,70
89,LerayXT,CLAY_13-b,a54dbde3db377d683f45d5d10a6beb65ed7226bd,8
89,LerayXT,CLAY_13-b,930c66e06e822d3b0c5070c74852c75c2657ca1d,1773
89,LerayXT,CLAY_13-b,0f436f955bbc2c28c4c6de17ce9dc95fe1030ec5,1296
89,LerayXT,CLAY_13-b,f80c71e33339c6a16bcce1ad39d1f7b6e83419b2,24
89,LerayXT,CLAY_13-b,329f47e68fdb7cbb94f925b57e576c99af6d9c5c,10
89,LerayXT,CLAY_13-b,8dec73ded64bb331d2682c7ab1a1c992dd7ebf4c,878
89,LerayXT,CLAY_13-b,197b31ea89b5f3c962916b4e3773b4101a2d888e,101
89,LerayXT,CLAY_13-b,b5e585c8e5e138f593919ece61a99beb39bbdcf3,327
89,LerayXT,CLAY_13-b,78c13365e61ef4d1a875bda1d6ee63a9788ac2a8,229
89,LerayXT,CLAY_13-b,aa815a72828cb09c45cdb6c7942eb0b39d53a17a,36
89,LerayXT,CLAY_13-b,e9a4a1a9a7470a5ade4812e9bc1ad240f075be01,419
89,LerayXT,CLAY_13-b,c5e063ebbf2bb27c768cc0a715b24d1427dbdd4d,12
89,LerayXT,CLAY_13-b,ecbcc3bd709776326a720729ad74c020c160aa3a,25
89,LerayXT,CLAY_13-b,5f83544bcb9b60588c89d222727232532a503060,143
89,LerayXT,CLAY_13-b,b9f2ff8dbf157e74370a4255e8cc7e657682524a,47
89,LerayXT,CLAY_13-b,8d1067844a77e25069c96f847672bee5c2bff0b1,2
89,LerayXT,CLAY_13-b,dd9e5308150ac01dd7f1eea5387b71247271fe73,5
89,LerayXT,CLAY_13-b,22346b7270b7e42d401d76c3e966365ac807bc59,11
89,LerayXT,CLAY_13-b,064525fcdd2f74f2e5adac6c22872c68341e7e03,12
89,LerayXT,CLAY_13-b,3d8bc44f021b3cd62b342fa696f2dc717acf50d4,98
89,LerayXT,CLAY_13-b,203ec52c9019c7f37f74ff5ddcd7fda682cd9480,64
89,LerayXT,CLAY_13-b,4b6c8c35716974f06be0f76c7de6843794dc1b73,56
89,LerayXT,CLAY_13-b,bb2809beac4b0e844070fb7dcd7c5a6c13504c67,6
89,LerayXT,CLAY_13-b,e9d393370fefd0a1ab7cfabacbf065487f02b8a6,10
89,LerayXT,CLAY_13-b,63921476819031b70279e4d86a006f1caf7d1af7,17
89,LerayXT,CLAY_13-b,d8b15ad6b079e2ba1dbc08d6eed05336dfe94f80,43
89,LerayXT,CLAY_13-b,2ab67b2fda0e32aed8092f56d51213601b7999a9,7
89,LerayXT,CLAY_13-b,1190ea6a61d23f996ab852bf67978413355a6b53,2
89,LerayXT,CLAY_13-b,99475b3bef71ef77d983bd0b99f1e9e036086bee,5
89,LerayXT,CLAY_13-b,0d27d86bfc924f7167c4a492aa5dc123dc0711ff,48
89,LerayXT,CLAY_13-b,ac38b84a74dbd69acd1aa9f058ff86d2c2d7ad5b,12
89,LerayXT,CLAY_13-b,aff38425cec7d2708f1a3a289554a6cef4d7836e,28
89,LerayXT,CLAY_13-b,50a51f3cd392ca9a3c51d1d1b63d2ce1e44ccedc,7
89,LerayXT,CLAY_13-b,e83487b40e0c517f3c3ea9f630dbbe90bfa9bbbb,20
89,LerayXT,CLAY_13-b,1d1eec1018a4d27fcec8e29cfa6e3d0506ca115c,9
